,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Rikitea,5,PF,1584335343,79,-23.12,-134.97,79.47,11.25
1,Guano,91,EC,1584335345,91,-1.58,-78.63,50.25,0.72
2,Calama,0,CL,1584335346,46,-22.47,-68.93,53.6,2.24
3,Shawville,22,CA,1584335347,57,45.6,-76.48,21.0,3.42
4,Pemangkat,10,ID,1584335348,82,1.17,108.97,83.55,10.42
5,Kualakapuas,27,ID,1584335349,52,-3.01,114.39,93.11,3.4
6,Hilo,90,US,1584335091,69,19.73,-155.09,77.0,9.17
7,Mahibadhoo,8,MV,1584335306,70,3.78,72.97,83.86,8.99
8,Castro,6,BR,1584335255,91,-24.79,-50.01,63.7,1.7
9,Gallup,1,US,1584335354,39,35.53,-108.74,44.6,8.05
10,Lompoc,90,US,1584335355,81,34.64,-120.46,54.0,11.41
11,Locri,40,IT,1584335356,87,38.24,16.26,57.99,24.4
12,Lorengau,100,PG,1584335358,76,-2.02,147.27,83.73,9.8
13,Airai,92,TL,1584335116,82,-8.93,125.41,73.62,3.78
14,Mahébourg,75,MU,1584335360,94,-20.41,57.7,81.0,3.36
15,Hambantota,20,LK,1584335096,66,6.12,81.12,89.6,12.75
16,Barcelona,20,ES,1584335363,82,41.39,2.16,57.0,12.75
17,Manacapuru,97,BR,1584335364,83,-3.3,-60.62,78.8,5.82
18,Hithadhoo,100,MV,1584335365,62,-0.6,73.08,83.55,6.51
19,Bredasdorp,84,ZA,1584335233,82,-34.53,20.04,62.6,9.17
20,Jamestown,1,US,1584335368,49,42.1,-79.24,28.99,8.05
21,Fare,0,PF,1584335208,73,-16.7,-151.02,83.08,9.62
22,Chui,83,UY,1584335370,82,-33.7,-53.46,59.58,4.56
23,Buta,79,CD,1584335371,84,2.79,24.73,74.93,2.04
24,Sitka,1,US,1584335095,84,57.05,-135.33,39.2,6.98
25,Mataura,82,NZ,1584335374,67,-46.19,168.86,53.01,11.99
26,Atuona,0,PF,1584335375,67,-9.8,-139.03,82.22,10.07
27,Bengkulu,81,ID,1584335376,71,-3.8,102.27,85.24,5.08
28,Coquimbo,90,CL,1584335377,87,-29.95,-71.34,60.8,4.7
29,Buckingham,0,GB,1584335379,93,52.0,-0.99,39.2,11.41
30,Wanning,85,CN,1584335380,73,18.8,110.4,77.76,9.51
31,Gwadar,25,PK,1584335381,58,25.12,62.33,73.04,6.13
32,Karratha,0,AU,1584335158,74,-20.74,116.85,86.11,12.15
